abrupt	陡峭的; 突然的，意外的; 无理的，唐突的; 不连贯的	英 [əˈbrʌpt]　美 [əˈbrʌpt]　
bypass	旁道，支路; 迂回管道; [电]分路迂徊; [医]导管	英 [ˈbaɪpɑ:s]　美 [ˈbaɪˌpæs]　
bald	秃头的; 光秃的; 单调的，枯燥的; 赤裸裸的，毫无掩饰的	英 [bɔ:ld]　美 [bɔld]　
ballet	芭蕾舞; 芭蕾舞团; 芭蕾舞剧; 芭蕾舞音乐	英 [ˈbæleɪ]　美 [bæˈle,ˈbælˌe]　
banquet	筵席; 宴会，盛宴; 宴请，款待	英 [ˈbæŋkwɪt]　美 [ˈbæŋkwɪt]　
barren	贫瘠的; 不结果实的; 不孕的; 无价值的	英 [ˈbærən]　美 [ˈbærən]　
batch	一批; 一炉; （食物、药物等的）一批生产的量; 成批作业	英 [bætʃ]　美 [bætʃ]　
beforehand	提前; 事先，预先	英 [bɪˈfɔ:hænd]　美 [bɪˈfɔ:rhænd]　
bewilder	使迷惑; 使为难; 使手足无措; 使变糊涂	英 [bɪˈwɪldə(r)]　美 [bɪˈwɪldɚ]　
bias	偏见; 倾向; 偏爱，爱好; 斜纹	英 [ˈbaɪəs]　美 [ˈbaɪəs]　
bibliography	书目提要，书目; 书志学，书志; 文献，文献学	英 [ˌbɪbliˈɒgrəfi]　美 [ˌbɪbliˈɑ:grəfi]　
biography	传记; 档案; 传记体文学; 个人简介	英 [baɪˈɒgrəfi]　美 [baɪˈɑ:grəfi]　
blaze	火焰; 光辉; 爆发; 光彩	英 [bleɪz]　美 [blez]　
blossom	花，群花; 开花时期，（发育的）初期; 兴旺时期	英 [ˈblɒsəm]　美 [ˈblɑ:səm]　
blunder	（因无知、粗心等造成）的错误; 大错，失策，疏忽	英 [ˈblʌndə(r)]　美 [ˈblʌndɚ]　
blur	污迹，污斑; 模糊不清的事物; 暧昧不明	英 [blɜ:(r)]　美 [blɚ]　
bonus	奖金，额外津贴; 红利，额外股息; 退职金; 额外令人高兴的事情	英 [ˈbəʊnəs]　美 [ˈboʊnəs]　
bowel	肠; 内部; 同情心，怜悯心	英 [ˈbaʊəl]　美 [ˈbaʊəl, baʊl]　
brew	酿造; 泡，煮; 策划，酿成	英 [bru:]　美 [bru]　
bribe	贿赂，行贿	英 [braɪb]　美 [braɪb]　
brink	边缘; （悬崖峭壁的）边沿; （危险的）边沿; 初始状态	英 [brɪŋk]　美 [brɪŋk]　
bronze	青铜; 铜牌; 青铜色; 青铜艺术品	英 [brɒnz]　美 [brɑ:nz]　
bruise	使挫伤	英 [bru:z]　美 [bruz]　
brutal	残忍的; 野蛮的; 无情的; 不讲理的	英 [ˈbru:tl]　美 [ˈbrutl]　
cafeteria	自助餐厅	英 [ˌkæfəˈtɪəriə]　美 [ˌkæfəˈtɪriə]　
calcium	钙	英 [ˈkælsiəm]　美 [ˈkælsiəm]　
cane	手杖; （植物的）茎; 棍棒，棒; 藤条，藤料	英 [keɪn]　美 [ken]　
cannon	大炮; 加农炮; 机关炮; 榴弹炮	英 [ˈkænən]　美 [ˈkænən]　
canvas	帆布; 油画（布）	英 [ˈkænvəs]　美 [ˈkænvəs]　
cater	提供饮食及服务	英 [ˈkeɪtə(r)]　美 [ˈketɚ]　
caption	字幕; 标题，说明文字，字幕; 第三档	英 [ˈkæpʃn]　美 [ˈkæpʃən]　
casualty	伤亡（人数）; 事故，横祸; 受害者，死伤者; 损坏	英 [ˈkæʒuəlti]　美 [ˈkæʒuəlti]　
catastrophe	大灾难; 惨败; 悲剧的结局; 地表突然而猛烈的变动，灾变	英 [kəˈtæstrəfi]　美 [kəˈtæstrəfi]　
ceramic	陶器的，与陶器有关的; 陶瓷的，陶制的; 制陶的	英 [səˈræmɪk]　美 [səˈræmɪk]　
cereal	谷物; 粮食; 谷类植物; 荞麦食品	英 [ˈsɪəriəl]　美 [ˈsɪriəl]　
certify	（尤指书面）证明; 发证书给…; 证明（某人）患有精神病; 颁发（或授予）专业合格证书	英 [ˈsɜ:tɪfaɪ]　美 [ˈsɜ:rtɪfaɪ]　
chant	吟颂，咏唱; 反复有节奏地喊叫（或唱等）	英 [tʃɑ:nt]　美 [tʃænt]　
cherish	珍爱; 爱护; 怀有; 抚育	英 [ˈtʃerɪʃ]　美 [ˈtʃɛrɪʃ]　
chronic	慢性的; 长期的; 习惯性的; 痼	英 [ˈkrɒnɪk]　美 [ˈkrɑ:nɪk]　
circulation	血液循环; 流通，传播; 发行量; （某段时间的）社交活动	英 [ˌsɜ:kjəˈleɪʃn]　美 [ˌsɜ:rkjəˈleɪʃn]　
circus	马戏，马戏团; 马戏表演（常在大帐篷里进行）; 环形广场，（用于某些地名）圆形广场; 乱哄哄的热闹场面	英 [ˈsɜ:kəs]　美 [ˈsɜ:rkəs]　
clarity	清晰度; 明确; 透明; 清楚，明晰	英 [ˈklærəti]　美 [ˈklærɪti]　
cluster	群; 丛; 簇，串; [语言]辅音群	英 [ˈklʌstə(r)]　美 [ˈklʌstɚ]　
cocaine	古柯碱; 可卡因	英 [kəʊˈkeɪn]　美 [koʊˈkeɪn]　
cocktail	鸡尾酒; 混合物; 餐前开胃菜	英 [ˈkɒkteɪl]　美 [ˈkɑ:kteɪl]　
coincide	相符; 与…一致; 想法、意见等相同; 极为类似	英 [ˌkəʊɪnˈsaɪd]　美 [ˌkoʊɪnˈsaɪd]　
coincidence	巧合; 一致; 同时存在; 并存	英 [kəʊˈɪnsɪdəns]　美 [koʊˈɪnsɪdəns]　
collide	碰撞; 相撞; 冲突; 抵触	英 [kəˈlaɪd]　美 [kəˈlaɪd]　
colonial	殖民地的; 殖民地化的; [生]群体的，集群的; 英领殖民地时期的	英 [kəˈləʊniəl]　美 [kəˈloʊniəl]　
comet	[天]彗星; 孛	英 [ˈkɒmɪt]　美 [ˈkɑ:mət]　
commence	开始; 着手; 获得学位	英 [kəˈmens]　美 [kəˈmɛns]　
commend	推荐; 表扬; 托付; 受到赞同	英 [kəˈmend]　美 [kəˈmɛnd]　
commentary	解说词; 评论，评注; 注释，注解; 个人生平传记	英 [ˈkɒməntri]　美 [ˈkɑ:mənteri]　
commodity	商品; 日用品; 有价值的物品; 有利，有益	英 [kəˈmɒdəti]　美 [kəˈmɑ:dəti]　
compact	压紧，（使）坚实; 把…弄紧密，把…弄结实; 使（文体）简洁，简化; 变紧密，变结实	英 [kəmˈpækt]　美 [ˈkɑ:mˈpækt]　
compartment	隔间（尤指火车车厢中的）; 区划	英 [kəmˈpɑ:tmənt]　美 [kəmˈpɑ:rtmənt]　
compatible	兼容的，相容的; 和谐的，协调的; [生物学]亲和的; 可以并存的，能共处的	英 [kəmˈpætəbl]　美 [kəmˈpætəbəl]　
competence	能力; 技能; 相当的资产	英 [ˈkɒmpɪtəns]　美 [ˈkɑ:mpɪtəns]　
compile	编译; 编制; 汇编; 编辑	英 [kəmˈpaɪl]　美 [kəmˈpaɪl]　
conscientious	认真负责的; 本着良心的; 谨慎的; 正大光明	英 [ˌkɒnʃiˈenʃəs]　美 [ˌkɑ:nʃiˈenʃəs]　
composite	混合成的，综合成的; [建]综合式的; [数]可分解的; [植]菊科的	英 [ˈkɒmpəzɪt]　美 [kəmˈpɑ:zət]　
comply	遵从; 依从，顺从; 应允，同意	英 [kəmˈplaɪ]　美 [kəmˈplaɪ]　
compliment	恭维; 敬意; 道贺，贺词; 致意	英 [ˈkɒmplɪmənt]　美 [ˈkɑ:mplɪmənt]　
compute	计算，估算; 推断; 用计算机计算	英 [kəmˈpju:t]　美 [kəmˈpjut]　
conception	概念; 受精，怀孕; 胚胎; 设想，构想	英 [kənˈsepʃn]　美 [kənˈsɛpʃən]　
confer	授予，颁与; 比较，对照	英 [kənˈfɜ:(r)]　美 [kənˈfɚ]　
confidential	机密的; 秘密的; 表示信任的; 亲密的	英 [ˌkɒnfɪˈdenʃl]　美 [ˌkɑ:nfɪˈdenʃl]　
configuration	配置; 布局，构造; [化]（分子中原子的）组态，排列; [物]位形，组态	英 [kənˌfɪgəˈreɪʃn]　美 [kənˌfɪgjəˈreɪʃn]　
consecutive	连续的，连贯的; [语]表示结果的	英 [kənˈsekjətɪv]　美 [kənˈsɛkjətɪv]　
conserve	保护，保藏，保存; [化，物]使守恒; 将…做成蜜饯	英 [kənˈsɜ:v]　美 [kənˈsɜ:rv]　
console	安慰，慰问	英 [kən'səʊl]　美 [kənˈsoʊl]　
conspicuous	明显的; 显而易见的; 惹人注意的; 显目	英 [kənˈspɪkjuəs]　美 [kənˈspɪkjuəs]　
constituent	选民; 成分，构成部分; 委托人	英 [kənˈstɪtjuənt]　美 [kənˈstɪtʃuənt]　
constrain	约束; 限制; 强迫; 强使	英 [kənˈstreɪn]　美 [kənˈstren]　
contemplate	注视，凝视; 盘算，计议; 周密考虑	英 [ˈkɒntəmpleɪt]　美 [ˈkɑ:ntəmpleɪt]　
contempt	轻蔑; 轻视; （对规则、危险等的）藐视; 不顾	英 [kənˈtempt]　美 [kənˈtɛmpt]　
contend	争夺; 竞争; 奋斗; 争斗	英 [kənˈtend]　美 [kənˈtɛnd]　
contention	争夺; 论点; 竞争，争论	英 [kənˈtenʃn]　美 [kənˈtɛnʃən]　
continuity	连续性，继续; 分镜头电影剧本; 串联，衔接; [影视]剪辑	英 [ˌkɒntɪˈnju:əti]　美 [ˌkɑ:ntəˈnu:əti]　
contradict	反驳，驳斥; 否认; 与…矛盾，与…抵触	英 [ˌkɒntrəˈdɪkt]　美 [ˌkɑ:ntrəˈdɪkt]　
contrive	策划; 设计，发明; 创造; 设法做到	英 [kənˈtraɪv]　美 [kənˈtraɪv]　
convene	召集; 聚集; 传唤	英 [kənˈvi:n]　美 [kənˈvin]　
conversion	变换，转变; 改装物; 财产转换，兑换; [逻] 换位（法）	英 [kənˈvɜ:ʃn]　美 [kənˈvɜ:rʒn]　
corporate	法人的，团体的，社团的; 公司的，总体国家的; 〈古〉团结的; 共同的，全体的	英 [ˈkɔ:pərət]　美 [ˈkɔ:rpərət]　
corps	兵团; 特种部队; 一群人，一组人	英 [kɔ:z]　美 [kɔ:rz]　
corrode	使腐蚀，侵蚀	英 [kəˈrəʊd]　美 [kəˈroʊd]　
corrupt	堕落的，道德败坏的; 贪污的，腐败的; 腐烂的; （文献等）错误百出的	英 [kəˈrʌpt]　美 [kəˈrʌpt]　
couch	长沙发椅，睡椅; （病人受检查时躺的）长榻; 麦芽床; 涂底，涂层	英 [kaʊtʃ]　美 [kaʊtʃ]　
counterpart	副本; 配对物; 相对物; 极相似的人或物	英 [ˈkaʊntəpɑ:t]　美 [ˈkaʊntərpɑ:rt]　
coward	胆小鬼，懦夫	英 [ˈkaʊəd]　美 [ˈkaʊərd]　
cozy	舒适的，安逸的，惬意的	英 ['kəʊzɪ]　美 [ˈkozi]　
cradle	摇篮; 发源地，发祥地; 吊架，支架; 婴儿时期	英 [ˈkreɪdl]　美 [ˈkredl]　
credible	可信的，可靠的; （因看似可能成功而）可接受的	英 [ˈkredəbl]　美 [ˈkrɛdəbəl]　
crisp	脆的; 干冷的; 易碎的; 新鲜的，爽快的	英 [krɪsp]　美 [krɪsp]　
crumble	弄碎; 把…弄成碎屑	英 [ˈkrʌmbl]　美 [ˈkrʌmbəl]　
culminate	达到极点	英 [ˈkʌlmɪneɪt]　美 [ˈkʌlməˌnet]　
cumulative	累积的; 渐增的; 追加的; （判刑等）加重的	英 [ˈkju:mjələtɪv]　美 [ˈkju:mjəleɪtɪv]　
customary	习惯的; 通常的; 照惯例的	英 [ˈkʌstəməri]　美 [ˈkʌstəmeri]　
cute	漂亮的; 娇小可爱的; 机灵的，精明的; 矫揉造作的	英 [kju:t]　美 [kjut]　
database	数据库; 资料库; 信息库	英 [ˈdeɪtəbeɪs]　美 [ˈdetəˌbes, ˈdætə-]　
deadly	极端的，非常的; 致命的，致死的; 非常有效的; 如死一般的	英 [ˈdedli]　美 [ˈdɛdli]　
dean	教务长; （大学的）学院院长，系主任; [宗]主任牧师; （大学，尤指牛津、剑桥大学的）学监	英 [di:n]　美 [din]　
decimal	十进位的，小数的	英 [ˈdesɪml]　美 [ˈdɛsəməl]　
decisive	决定性的; 坚定的; 果断的，决断的	英 [dɪˈsaɪsɪv]　美 [dɪˈsaɪsɪv]　
deduce	演绎; 推论，推断; 追溯根源	英 [dɪˈdju:s]　美 [dɪˈdu:s]　
deem	认为，视为; 主张，断定	英 [di:m]　美 [dim]　
default	未履行任务或责任; 受传唤时未出庭; 由于不到庭而败诉; 弃权	英 [dɪˈfɔ:lt]　美 [dɪˈfɔlt]　
defiance	蔑视; 反抗; 挑战	英 [dɪˈfaɪəns]　美 [dɪˈfaɪəns]　
defy	蔑视; 公然反抗; 不服从; 向…挑战	英 [dɪˈfaɪ]　美 [dɪˈfaɪ]　
degenerate	退化的; 堕落的; 变质的; 变性的	英 [dɪˈdʒenəreɪt]　美 [dɪ'dʒenəreɪt]　
degrade	降低，贬低; 使降级; 降低…身分; 使丢脸	英 [dɪˈgreɪd]　美 [dɪˈɡred]　
denial	克制; 否认，否定; 拒绝，拒绝接受	英 [dɪˈnaɪəl]　美 [dɪˈnaɪəl]　
deport	行为，举动; 把…驱逐出境	英 [dɪˈpɔ:t]　美 [dɪˈpɔ:rt]　
deprive	剥夺，夺去，使丧失	英 [dɪˈpraɪv]　美 [dɪˈpraɪv]　
despatch	派遣	英 [dɪ'spætʃ]　美 [dɪˈspætʃ]　
destined	命中注定的，预定的; 去往…的	英 [ˈdestɪnd]　[ˈdestind]　
detain	耽搁; 留住，阻住; 拘留，扣留	英 [dɪˈteɪn]　美 [dɪˈten]　
deteriorate	使恶化	英 [dɪˈtɪəriəreɪt]　美 [dɪˈtɪriəreɪt]　
differentiate	区分，区别，辨别	英 [ˌdɪfəˈrenʃieɪt]　美 [ˌdɪfəˈrɛnʃiˌet]　
diffuse	四散的; 散开的; 冗长的; 累赘的	英 [dɪˈfju:s]　美 [dɪˈfjuz]　
dignity	尊严; 自尊; 高尚; 自豪	英 [ˈdɪgnəti]　美 [ˈdɪgnəti]　
dilute	稀释，冲淡	英 [daɪˈlu:t]　美 [daɪˈlut, dɪ-]　
diploma	毕业文凭; 学位证书; 公文; 奖状	英 [dɪˈpləʊmə]　美 [dɪˈploʊmə]　
disable	使无能力; 使残废，使伤残; 使无资格; 使不中用	英 [dɪsˈeɪbl]　美 [dɪsˈebəl]　
discern	看出; 理解，了解; 识别，辨别	英 [dɪˈsɜ:n]　美 [dɪˈsɜ:rn]　
disclose	公开; 揭露; 使显露; 使暴露	英 [dɪsˈkləʊz]　美 [dɪsˈkloʊz]　
discreet	持重; 小心的; 谨慎的，慎重的; 考虑周到的	英 [dɪˈskri:t]　美 [dɪˈskrit]　
discrepancy	矛盾; 不符合（之处）	英 [dɪsˈkrepənsi]　美 [dɪˈskrɛpənsi]　
discrete	分离的，不相关联的; 分立式; 非连续	英 [dɪˈskri:t]　美 [dɪˈskrit]　
dismay	使惊愕，使焦虑，使气馁	英 [dɪsˈmeɪ]　美 [dɪsˈme]　
dispatch	派遣，调度; （迅速地）发出; 迅速处理，迅速了结; 处决（罪犯等）	英 [dɪˈspætʃ]　美 [dɪˈspætʃ]　
disperse	（使）分散，（使）散开; 散播，传布（如知识）; 使（光）色散; 使粒子分散	英 [dɪˈspɜ:s]　美 [dɪˈspɜ:rs]　
displace	移动，移走; 替换，取代; 排水; 撤职	英 [dɪsˈpleɪs]　美 [dɪsˈples]　
disposition	性情，性格; 意向，倾向; 安排，配置; 部署，战略（战术）计划	英 [ˌdɪspəˈzɪʃn]　美 [ˌdɪspəˈzɪʃən]　
disregard	不顾; 不理会; 漠视，忽视; 蔑视，轻视	英 [ˌdɪsrɪˈgɑ:d]　美 [ˌdɪsrɪˈgɑ:rd]　
distil	蒸馏; 从…提取精华; 使渗出; 用蒸馏法制造	英 [dɪˈstɪl]　美 [dɪˈstɪl]　
distill	蒸馏，提取，滴下	英 [dɪs'tɪl]　美 [dɪˈstɪl]　
disturbance	困扰; 打扰; 骚乱，变乱; 烦闷	英 [dɪˈstɜ:bəns]　美 [dɪˈstɜ:rbəns]　
divert	使转移; 娱乐; 转移注意力	英 [daɪˈvɜ:t]　美 [daɪˈvɜ:rt]　
dividend	红利，股息，利息，（破产时清算的）分配金; [数]被除数 opp. divisor; （足球彩票的）彩金	英 [ˈdɪvɪdend]　美 [ˈdɪvɪˌdɛnd]　
divine	神圣的; 神的， 天赐的; 极好的	英 [dɪˈvaɪn]　美 [dɪˈvaɪn]　
dock	码头; 被告席; 草本植物; 尾巴的骨肉部份	英 [dɒk]　美 [dɑ:k]　
dodge	闪躲; 回避	英 [dɒdʒ]　美 [dɑ:dʒ]　
dolphin	海豚; （码头的）系船柱	英 [ˈdɒlfɪn]　美 [ˈdɑ:lfɪn]　
dome	圆屋顶; 像圆屋顶一样的东西; 圆顶体育场	英 [dəʊm]　美 [doʊm]　
donate	（尤指向慈善机构）捐赠; 献（血）; 捐（血）; 捐献（器官）	英 [dəʊˈneɪt]　美 [ˈdoʊneɪt]　
doom	厄运; 命运; 死亡; （尤指不利的、有罪的）判决，宣判	英 [du:m]　美 [dum]　
drainage	排水系统; 排水，放水; 排走物，废水; 排水区域	英 [ˈdreɪnɪdʒ]　美 [ˈdrenɪdʒ]　
drastic	激烈的; 极端的; 猛烈的; （法律等）严厉的	英 [ˈdræstɪk]　美 [ˈdræstɪk]　
drawback	退税; 缺点，劣势	英 [ˈdrɔ:bæk]　美 [ˈdrɔˌbæk]　
dread	害怕，担心; （古语）敬畏	英 [dred]　美 [drɛd]　
dubious	可疑的; 半信半疑的，犹豫不决的; 暧昧的，含糊的; 不可靠的	英 [ˈdju:biəs]　美 [ˈdu:biəs]　
exotic	异国的; 外来的; 异乎寻常的，奇异的; 吸引人的	英 [ɪgˈzɒtɪk]　美 [ɪgˈzɑ:tɪk]　
expel	驱逐; 赶走; 把…除名; 排出（气体等）	英 [ɪkˈspel]　美 [ɪkˈspɛl]　
expend	花费; 耗尽; 用光	英 [ɪkˈspend]　美 [ɪkˈspɛnd]　
exposition	博览会; 阐述; 展览会	英 [ˌekspəˈzɪʃn]　美 [ˌɛkspəˈzɪʃən]　
exquisite	精致的; 细腻的; 优美的; 剧烈的	英 [ɪkˈskwɪzɪt]　美 [ˈɛkskwɪzɪt, ɪkˈskwɪzɪt]　
extinct	灭绝的; 绝种的; 消逝的; 破灭的	英 [ɪkˈstɪŋkt]　美 [ɪkˈstɪŋkt]　
empirical	经验主义的; 凭经验的; 以观察或实验为依据的	英 [ɪmˈpɪrɪkl]　美 [ɛmˈpɪrɪkəl]　
embody	表现，象征; 包含，收录; 使具体化; [军]组编	英 [ɪmˈbɒdi]　美 [ɪmˈbɑ:di]　
embed	把…嵌入; 栽种; 深留（记忆中）	英 [ɪm'bed]　美 [ɛmˈbɛd]　
eclipse	[天]（日、月）食; 消失，黯然失色; 漆黑	英 [ɪˈklɪps]　美 [ɪˈklɪps]　
ecology	生态学; 社会生态学; 个体生态学	英 [iˈkɒlədʒi]　美 [iˈkɑ:lədʒi]　
edible	可以吃的，可食用的	英 [ˈedəbl]　美 [ˈɛdəbəl]　
ego	自我; 自负; 自尊心; 自我意识	英 [ˈi:gəʊ]　美 [ˈi:goʊ]　
elapse	消逝; 时间过去	英 [ɪˈlæps]　美 [ɪˈlæps]　
electrician	电工，电气技师	英 [ɪˌlekˈtrɪʃn]　美 [ɪlɛkˈtrɪʃən, ˌilɛk-]　
elite	精华; 精锐，精英; 上层集团; （统称）掌权人物	英 [eɪˈli:t]　美 [ɪˈlit, eˈlit]　
embark	上飞机，上船; 着手，从事	英 [ɪmˈbɑ:k]　美 [ɪmˈbɑ:rk]　
enclosure	附件; 圈占; 围绕; 圈占地	英 [ɪnˈkləʊʒə(r)]　美 [ɪnˈkloʊʒə(r)]　
enlighten	启发，启蒙; 开导，教导; 〈古〉照耀	英 [ɪnˈlaɪtn]　美 [ɛnˈlaɪtn]　
engagement	约会; 订婚，婚约; 约定，契约; 雇用	英 [ɪnˈgeɪdʒmənt]　美 [ɛnˈɡedʒmənt]　
entrepreneur	企业家; 主办人; 承包人	英 [ˌɒntrəprəˈnɜ:(r)]　美 [ˌɑ:ntrəprəˈnɜ:(r)]　
entity	实体; 实际存在物; 本质	英 [ˈentəti]　美 [ˈɛntɪti]　
enthusiastic	热情的; 热心的; 热烈的; 狂热的	英 [ɪnˌθju:ziˈæstɪk]　美 [ɪnˌθu:ziˈæstɪk]　
entail	需要; 牵涉; 使必要; 限定继承	英 [ɪnˈteɪl]　美 [ɛnˈtel, ɪn-]　
equator	赤道; （平分球形物体的面的）圆; （任何）大圆	英 [ɪˈkweɪtə(r)]　美 [ɪˈkwetɚ]　
epidemic	流行病; 迅速的传播、生长或发展; 风尚等的流行	英 [ˌepɪˈdemɪk]　美 [ˌɛpɪˈdɛmɪk]　
esthetic	审美的;  美学的; 有关美的; 悦目的	英 [es'θetɪk]　美 [ɛsˈθɛtɪk]　
essence	香精; 本质，实质; 精华，精髓	英 [ˈesns]　美 [ˈɛsəns]　
escort	护送者; 护航舰; 陪同某人参加社交活动的人（尤指男人）; 受雇陪同某人外出社交的人（尤指女人）	英 [ˈeskɔ:t]　美 [ˈeskɔ:rt]　
evacuate	撤离，疏散; 排泄; 腾出（房子等）; 除清，抽空	英 [ɪˈvækjueɪt]　美 [ɪˈvækjuˌet]　
evoke	唤起; 产生，引起	英 [ɪˈvəʊk]　美 [ɪˈvoʊk]　
esteem	尊敬，敬重; 认为，以为; 考虑; 估价	英 [ɪˈsti:m]　美 [ɪˈstim]　
ethnic	种族的，部落的; 某文化群体的	英 [ˈeθnɪk]　美 [ˈɛθnɪk]　
facet	小平面; 侧面，方面; （昆虫的）小眼面; [建]柱槽筋	英 [ˈfæsɪt]　美 [ˈfæsɪt]　
feeble	虚弱的，衰弱的; 无效的，无意的; 缺乏决心的，缺乏活力的	英 [ˈfi:bl]　美 [ˈfibəl]　
federation	联邦，同盟; 联盟，联合会; 联邦，联邦政府	英 [ˌfedəˈreɪʃn]　美 [ˌfɛdəˈreʃən]　
fusion	融合; 熔解，熔化; 融合物; [物]核聚变	英 [ˈfju:ʒn]　美 [ˈfjuʒən]　
fascinate	蛊惑; 使着迷; 使神魂颠倒	英 [ˈfæsɪneɪt]　美 [ˈfæsəˌnet]　
feminine	有女性气质的; 女子气的; [语]阴性的; 阴柔的	英 [ˈfemənɪn]　美 [ˈfɛmənɪn]　
fitting	装修; 试穿，试衣; 设备，器材; 装置	英 [ˈfɪtɪŋ]　美 [ˈfɪtɪŋ]　
fixture	（房屋等的）固定装置; [商]定期放款，定期存款; 固定在某位置的人或物; （定期定点举行的）体育活动	英 [ˈfɪkstʃə(r)]　美 [ˈfɪkstʃɚ]　
flank	侧翼; 侧面; 侧腹; 侧边	英 [flæŋk]　美 [flæŋk]　
flap	扁平物; [航] 襟翼; 拍打，拍打声; 〈口〉不安，恐慌	英 [flæp]　美 [flæp]　
flutter	飘动; 鼓翼	英 [ˈflʌtə(r)]　美 [ˈflʌtɚ]　
flaw	瑕疵，缺点; 一阵狂风; 短暂的风暴; 裂缝，裂纹	英 [flɔ:]　美 [flɔ]　
forerunner	先驱; 先驱者; 先兆，预兆	英 [ˈfɔ:rʌnə(r)]　美 [ˈfɔrˌrʌnɚ, ˈfor-]　
flare	闪耀，闪光; 燃烧; 突然发怒; 向外张开	英 [fleə(r)]　美 [fler]　
flush	冲刷; 脸红; 呈红色; 奔流	英 [flʌʃ]　美 [flʌʃ]　
formidable	可怕的; 令人敬畏的; 难以对付的	英 [ˈfɔ:mɪdəbl]　美 [ˈfɔ:rmɪdəbl]　
fort	堡垒，要塞; 边界贸易站	英 [fɔ:t]　美 [fɔ:rt]　
forthcoming	即将到来的; 现成的; 唾手可得的; 乐于助人的	英 [ˌfɔ:θˈkʌmɪŋ]　美 [ˌfɔ:rθˈkʌmɪŋ]　
foster	培养; 促进; 抚育; 代养	英 [ˈfɒstə(r)]　美 [ˈfɔ:stə(r)]　
friction	摩擦; 摩擦力; 冲突，不和	英 [ˈfrɪkʃn]　美 [ˈfrɪkʃən]　
fury	狂怒; 暴怒; [罗神]复仇三女神之一; 激怒者	英 [ˈfjʊəri]　美 [ˈfjʊri]　
foul	[体]违反规则的，犯规的; 邪恶的; 难闻的，有恶臭的; 下流的	英 [faʊl]　美 [faʊl]　
